timestamp,namada.indexer.StakeUp.is_up_to_date,namada.indexer.StakeUp.status,namada.indexer.StakeUp.sync_state,namada.indexer.StakeUp.version,namada.interface.StakeUp.is_up_to_date,namada.interface.StakeUp.status,namada.interface.StakeUp.version,namada.masp.StakeUp.is_up_to_date,namada.masp.StakeUp.status,namada.masp.StakeUp.sync_state,namada.masp.StakeUp.version,namada.rpc.StakeUp.is_up_to_date,namada.rpc.StakeUp.status,namada.rpc.StakeUp.sync_state,namada.rpc.StakeUp.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T18:18:32.884333+00:00Z,,,sync_ok,2.5.3,,,,,,,,,,,
2025-05-13T19:12:55.105791+00:00Z,,,sync_ok,2.5.3,False,down,n/a,,,,,,,,
2025-05-14T21:35:47.816955+00:00Z,False,,sync_ok,2.5.3,False,down,n/a,,,,,,,,
2025-05-15T11:36:44.887611+00:00Z,False,,sync_ok,2.5.3,True,up,1.20.0-hotfix2,,,,,,,,
2025-05-15T16:19:57.620070+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,,,,,,
2025-05-21T07:15:35.024549+00:00Z,True,,sync_ok,2.5.4,False,up,1.20.0-hotfix2,,,,,,,,
2025-05-21T16:20:30.820534+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,,,,,,
2025-05-27T15:17:26.616477+00:00Z,True,,sync_nok,2.5.4,True,up,1.20.0-hotfix3,,,,,,,,
2025-05-27T16:20:15.188932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,,,sync_lag,,False,down,sync_nok,n/a
2025-05-27T16:47:30.993932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T17:14:25.051180+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T17:38:30.832674+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-05-27T18:21:07.557856+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T20:40:32.859929+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T08:21:34.190484+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T15:15:02.467858+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T12:33:07.465452+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T18:22:40.034157+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T15:17:45.212681+00:00Z,False,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,False,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T21:14:29.547889+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-22T11:12:38.280481+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T09:19:33.180405+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T21:15:17.368615+00:00Z,True,up,sync_ok,3.2.0,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-08T19:36:57.420327+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-07-08T20:18:34.238256+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T20:19:09.889885+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T14:15:55.771376+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-07-16T19:14:51.286483+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-17T20:19:06.649515+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T19:37:37.390456+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T15:18:53.443581+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
